catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem
551496,140.54059339,-0.53956125,140.54059339,-0.53956125,15.65,15.199,0.05743,0.05628,-21.89,7.8,21.34,22.04,23.86,0.2452,36.54001,10.79,1.05,0.119,8,1,GAMA,,,
518026,134.74443584,2.76356951,134.74443584,2.76356951,19.348,18.975,0.04026,0.03921,-17.32,3.66,22.92,23.62,25.44,0.6866,91.38,9.04,1.07,0.172,8,0,GAMA,,,
204876,139.88435455,-0.41006993,139.88435455,-0.41006993,17.457,17.357,0.03981,0.03869,-18.85,8.04,21.94,22.64,24.46,0.8391,147.34,9.19,0.57,0.116,8,0,GAMA,,,
65355,222.72888595,-0.36901112,222.72888595,-0.36901112,17.505,17.469,0.02756,0.02686,-17.97,5.82,21.42,22.12,23.94,0.8373,153.32,8.92,0.65,0.197,8,0,GAMA,,,
106422,216.02913065,0.95049939,216.02913065,0.95049939,17.82,17.831,0.03954,0.03869,-18.4,4.52,23.29,23.99,25.81,0.0508,42.030006,8.99,0.54,0.106,3,0,GAMA,,,
231024,182.13020547,1.90942501,182.13020547,1.90942501,15.306,15.248,0.02232,0.02067,-19.7,14.3,21.09,21.79,23.61,0.8438,125.64,10.04,1.15,0.105,8,0,GAMA,,,
376165,132.17023847,1.49956155,132.17023847,1.49956155,18.425,17.994,0.02994,0.02893,-17.55,4.63,23.19,23.89,25.71,0.1194,173.75,8.7,0.6,0.132,8,0,GAMA,,,
610700,181.41440627,0.40847358,181.41440627,0.40847358,17.506,17.486,0.02272,0.02111,-17.45,5.33,22.39,23.09,24.91,0.5053,172.91,8.63,0.55,0.093,8,0,GAMA,,,
346680,134.67079601,2.19370629,134.67079601,2.19370629,16.992,16.872,0.00879,0.00806,-15.97,6.68,21.97,22.67,24.49,0.7202,3.3600006,7.68,0.08,0.147,8,0,GAMA,,,
512394,218.72425699,-1.1371825,218.72425699,-1.1371825,16.545,16.557,0.04862,0.04781,-20.09,3.82,21.33,22.03,23.85,0.1847,39.310013,9.74,0.63,0.148,3,0,GAMA,,,
31161,178.6825775,-1.21103042,178.6825775,-1.21103042,17.003,17.012,0.07869,0.07739,-20.82,4.39,20.39,21.09,22.91,0.8229,84.57001,10.32,1.04,0.094,3,0,GAMA,,,
79773,222.89488347,0.01044155,222.89488347,0.01044155,18.706,18.676,0.04355,0.04282,-17.76,3.07,22.19,22.89,24.71,0.6123,110.46,8.87,0.71,0.173,3,0,GAMA,,,
84107,175.99842988,0.42801347,175.99842988,0.42801347,15.351,15.345,0.02994,0.0287,-20.25,5.05,20.64,21.34,23.16,0.2314,167.65,9.71,0.5,0.108,8,0,GAMA,,,
534734,174.79935755,-0.95818308,174.79935755,-0.95818308,16.337,16.335,0.04765,0.04638,-20.3,5.84,22.1,22.8,24.62,0.1079,127.39,9.93,0.76,0.055,3,0,GAMA,,,
15154,214.28322999,0.67847229,214.28322999,0.67847229,16.52,16.526,0.07853,0.07762,-21.29,3.02,20.77,21.47,23.29,0.1901,96.05,10.4,0.91,0.145,3,0,GAMA,,,
106411,215.96044692,1.00433143,215.96044692,1.00433143,16.747,16.751,0.07513,0.07425,-20.97,3.4,20.79,21.49,23.31,0.4745,124.880005,10.3,0.94,0.11,3,0,GAMA,,,
594918,222.48808604,-0.17587134,222.48808604,-0.17587134,17.695,17.699,0.04401,0.04327,-18.78,2.68,21.77,22.47,24.29,0.1323,7.26001,9.38,0.84,0.169,8,0,GAMA,,,
610816,181.91694684,0.24643629,181.91694684,0.24643629,17.944,17.911,0.02275,0.02114,-17.07,4.43,22.55,23.25,25.07,0.4741,118.45,8.62,0.71,0.081,8,0,GAMA,,,
32274,184.15296827,-1.08234243,184.15296827,-1.08234243,17.001,17.032,0.023,0.02142,-17.97,4.49,21.77,22.47,24.29,0.415,101.36,8.79,0.48,0.081,8,0,GAMA,,,
49702,222.08932066,-0.80754179,222.08932066,-0.80754179,15.409,15.397,0.05704,0.05628,-21.68,6.2,20.78,21.48,23.3,0.4687,67.729996,10.61,0.93,0.18,8,0,GAMA,,,
623707,140.03525925,0.67068028,140.03525925,0.67068028,17.518,17.534,0.05957,0.05843,-19.64,4.25,21.17,21.87,23.69,0.7631,2.149994,9.72,0.85,0.122,3,0,GAMA,,,
544812,216.98074288,-1.00818025,216.98074288,-1.00818025,16.409,16.377,0.03033,0.0295,-19.22,5.31,21.53,22.23,24.05,0.4081,5.2099915,9.32,0.52,0.158,8,0,GAMA,,,
600682,136.84771723,0.24698222,136.84771723,0.24698222,16.856,16.857,0.05261,0.05151,-20.01,4.29,21.71,22.41,24.23,0.2901,130.78,9.7,0.63,0.122,3,0,GAMA,,,
302994,140.14321141,1.55109987,140.14321141,1.55109987,16.847,16.864,0.0176,0.01666,-17.53,7.12,21.38,22.08,23.9,0.8132,49.350006,8.76,0.66,0.125,8,0,GAMA,,,
373050,139.06897048,1.19233701,139.06897048,1.19233701,18.541,17.575,0.0557,0.05458,-19.6,35.12,24.33,25.03,26.85,0.8082,54.829994,10.47,1.55,0.117,8,1,GAMA,,,
227351,213.09292578,1.36523,213.09292578,1.36523,16.414,16.338,0.02574,0.02482,-18.94,8.39,21.53,22.23,24.05,0.7798,138.7,9.5,0.87,0.155,8,0,GAMA,,,
297090,214.58418608,1.48336561,214.58418608,1.48336561,16.46,16.476,0.07329,0.07239,-21.18,4.1,20.9,21.6,23.42,0.4882,115.909996,10.39,0.94,0.148,3,0,GAMA,,,
599859,132.80389905,0.27454941,132.80389905,0.27454941,19.124,18.953,0.04343,0.04239,-17.5,2.27,21.63,22.33,24.15,0.7366,35.160004,8.79,0.72,0.139,3,0,GAMA,,,
8007,180.23508637,0.79309201,180.23508637,0.79309201,17.32,17.291,0.08261,0.08132,-20.69,3.17,20.66,21.36,23.18,0.6714,47.23999,10.48,1.34,0.081,3,0,GAMA,,,
38980,174.04825934,-0.76657667,174.04825934,-0.76657667,17.07,17.137,0.02835,0.02709,-18.32,5.48,23.0,23.71,25.53,0.1776,13.480011,8.97,0.54,0.077,8,0,GAMA,,,
371677,132.32418291,0.91676129,132.32418291,0.91676129,16.011,16.004,0.06833,0.06727,-21.5,4.38,21.1,21.8,23.62,0.1349,168.12,10.57,1.0,0.13,3,0,GAMA,,,
70116,178.54268118,0.13854837,178.54268118,0.13854837,16.528,16.212,0.05177,0.05051,-20.65,5.39,21.63,22.33,24.15,0.4964,48.300003,10.16,0.87,0.079,8,0,GAMA,,,
422761,132.33073636,2.69486934,132.33073636,2.69486934,16.301,16.284,0.07801,0.07695,-21.52,4.3,21.35,22.06,23.87,0.1268,18.380005,10.54,0.97,0.121,3,0,GAMA,,,
508416,216.93188589,-1.58702011,216.93188589,-1.58702011,15.413,15.396,0.02485,0.02398,-19.78,8.2,20.89,21.6,23.42,0.6721,48.700012,9.65,0.66,0.192,8,0,GAMA,,,
41163,184.47551809,-0.79717941,184.47551809,-0.79717941,18.61,18.603,0.03205,0.03084,-17.14,2.27,22.2,22.9,24.72,0.2035,72.600006,8.63,0.71,0.109,3,0,GAMA,,,
376712,134.73996359,1.42472599,134.73996359,1.42472599,17.157,17.059,0.05482,0.05375,-19.9,6.4,21.96,22.66,24.48,0.6798,133.68,9.76,0.76,0.201,3,0,GAMA,,,
239597,218.33996165,1.47706328,218.33996165,1.47706328,19.281,17.414,0.11057,0.10971,-21.36,1.95,21.61,22.31,24.13,0.5624,123.630005,11.17,1.74,0.162,4,1,GAMA,,,
198771,140.81531929,-0.72803109,140.81531929,-0.72803109,14.122,14.089,0.01275,0.01167,-19.61,18.01,21.25,21.96,23.78,0.666,129.25,9.43,0.45,0.144,8,0,GAMA,,,
64420,219.22426873,-0.32251313,219.22426873,-0.32251313,17.448,17.302,0.05755,0.05674,-19.86,5.48,21.02,21.73,23.54,0.8759,5.350006,10.14,1.23,0.139,8,1,GAMA,,,
98441,178.18158773,0.97481928,178.18158773,0.97481928,16.94,16.963,0.02625,0.02495,-18.36,5.77,21.85,22.55,24.37,0.6983,131.25,8.89,0.42,0.083,8,0,GAMA,,,
486782,221.41631562,-1.71861716,221.41631562,-1.71861716,16.5,16.485,0.03041,0.02966,-19.14,7.08,21.48,22.18,24.0,0.7208,77.98001,9.3,0.54,0.19,8,0,GAMA,,,
381502,132.98872159,1.89563887,132.98872159,1.89563887,18.24,18.254,0.02613,0.02524,-17.0,1.68,21.39,22.09,23.91,0.0661,90.76,8.37,0.45,0.128,8,0,GAMA,,,
209830,135.19088754,0.07113992,135.19088754,0.07113992,16.528,16.5,0.05366,0.05258,-20.42,4.21,21.06,21.77,23.58,0.4303,17.399994,9.95,0.75,0.122,3,0,GAMA,,,
300723,130.63866606,1.14939719,130.63866606,1.14939719,17.143,17.135,0.07835,0.07731,-20.71,3.12,20.45,21.16,22.98,0.6799,40.399994,10.31,1.08,0.156,3,0,GAMA,,,
321494,223.49674292,1.54908837,223.49674292,1.54908837,17.692,17.648,0.04468,0.04396,-18.84,5.48,21.26,21.97,23.78,0.8714,52.809998,9.27,0.67,0.176,8,0,GAMA,,,
251502,218.8083934,1.9446796,218.8083934,1.9446796,18.089,18.057,0.03063,0.02984,-17.6,5.05,22.85,23.56,25.37,0.4762,14.779999,8.62,0.46,0.138,3,0,GAMA,,,
106049,214.59012585,0.94959438,214.59012585,0.94959438,17.6,17.653,0.027,0.02614,-17.72,3.43,21.55,22.25,24.07,0.5555,30.419998,8.76,0.57,0.147,8,0,GAMA,,,
619951,222.32471548,0.38919857,222.32471548,0.38919857,18.185,17.783,0.03516,0.03442,-18.18,5.1,23.16,23.86,25.68,0.3535,142.97,9.0,0.64,0.168,3,0,GAMA,,,
70920,182.10414699,0.09209763,182.10414699,0.09209763,16.958,17.006,0.04571,0.04447,-19.59,5.7,22.62,23.33,25.14,0.0405,130.94,9.69,0.8,0.082,3,0,GAMA,,,
138132,180.86117416,-1.81826751,180.86117416,-1.81826751,18.927,18.849,0.02252,0.02087,-16.13,3.54,23.31,24.01,25.83,0.2717,140.03,8.45,0.94,0.073,8,0,GAMA,,,
