catid,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match
9388000825,1,1.0,336.4755859,-31.1120949,,,16.513527,16.604916,,0.05982719,-20.511824,3.4623244,20.584677,21.932867,23.514902,0.35126692,38.376125,10.244561,1.119646,,2.0,0.0,Cluster,1.7441818,0.88231045,1.0,False,True,True
9388000827,1,1.0,336.3853149,-31.0412617,,,17.127354,17.077305,,0.05929885,-20.040194,1.133778,18.775133,20.045555,21.64059,0.444727,40.15112,10.125667,1.1953163,,2.0,0.0,Cluster,1.7477072,0.65573114,1.0,False,True,True
9388000914,1,2.0,336.3723145,-31.0837364,,,16.022106,16.04478,,0.057283398,-21.071953,3.2287161,20.17047,21.680452,23.241472,0.20840394,95.56174,10.631817,1.3009205,,2.0,0.0,Cluster,1.8421034,-0.20964076,1.0,False,True,True
9388000921,1,1.0,336.9178467,-29.8455009,,,15.488069,15.489806,,0.05302719,-21.622845,2.842456,18.842115,20.115076,21.709654,0.54322,121.96256,10.7903,1.2220896,,2.0,0.0,Cluster,1.854688,-2.0425422,0.0,False,True,True
9388000949,1,0.0,336.4735413,-31.1833477,,,15.310694,15.414128,,0.058570467,-21.702269,6.372516,21.092472,22.584084,24.147148,0.00010089077,92.19079,10.769343,1.1679955,,2.0,0.0,Cluster,1.8907955,0.3431765,1.0,False,True,True
9388000993,1,1.0,336.4317017,-31.1809769,,,16.799963,16.803698,,0.056853518,-20.311504,3.108859,20.143246,21.146297,22.808367,0.62542427,11.621714,10.258426,1.2079563,,2.0,0.0,Cluster,1.9401954,-0.39443108,1.0,False,True,True
9388001005,1,2.0,336.2929077,-31.0698338,,,14.710728,14.711106,,0.057671987,-22.397709,11.802298,21.302137,22.66756,24.247,0.40467337,74.381195,10.979482,1.046134,,2.0,0.0,Cluster,1.9465333,-0.04266463,1.0,False,True,True
9388001017,1,1.5,336.1921997,-30.9518795,,,15.165936,15.18822,,0.058928013,-21.929937,12.849132,21.284939,22.560625,24.15471,0.7043734,105.048706,10.98367,1.3063173,,2.0,0.0,Cluster,1.9579272,0.49662894,1.0,False,True,True
9388001101,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
9388001133,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
93885,3,3.0,222.94355162,0.46989205,222.94355162,0.46989205,18.117,18.124,0.04372,0.04299,-18.33,1.96,20.79,21.62,23.36,0.5763,111.89,9.18,0.8,0.166,8.0,0.0,GAMA,,,,True,True,True
9403800001,1,0.0,356.9378052,-28.1406612,,,12.847081,13.041501,,0.028922027,-22.527308,29.209238,21.540956,22.368439,24.10582,0.49596292,120.11856,11.29809,1.3230228,,7.0,0.0,Cluster,1.2398322e-06,-0.20862651,1.0,False,True,True
9403800002,1,0.0,356.9302673,-28.1436958,,,13.767823,13.70932,,0.027087234,-21.858221,8.124819,20.003597,21.340143,22.923988,0.2790614,72.20152,10.989715,1.275054,,7.0,0.0,Cluster,0.010610631,-1.1046554,1.0,False,True,True
9403800003,1,1.0,356.9465637,-28.1349773,,,15.525755,15.214938,,0.027298154,-20.352306,1.8818481,18.58926,19.772047,21.384676,0.40056202,166.90042,10.472352,1.3594341,,7.0,0.0,Cluster,0.013925644,-1.0015705,1.0,False,True,True
