cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match,flag_finite_m_r,flag_finite_mstar,flag_finite_sigma_re,flag_finite_sigma_re_err,flag_positive_sigma_re
9091700242_blue_red_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01,9091700242_A,9091700242_blue_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01.fits,9091700242,311.5,3.5833333,96.60097,2.3918574,97.434555,2.2687473,90.469215,3.2199965,93.99738,2.9817183,97.80113,2.3604562,98.93157,2.1076694,0.0,1.0,0.24668677,0.02202098,,,0.28553802,0.0231385,,,,,93.56224,2.3753877,,,,,,,,,,,,,1,1.0,355.5073242,-28.949995,,,16.838589,16.816065,,0.053417232,-20.009907,2.4432044,19.715946,21.149496,22.719557,0.55277723,126.58199,10.118936,1.1903096,,7.0,0.0,Cluster,0.9081277,1.440341,1.0,False,True,True,True,True,True,True,True
9091700393_blue_red_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08,9091700393_A,9091700393_blue_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08.fits,9091700393,206.0,0.75,152.81247,1.6794115,150.07578,1.5034056,145.41328,2.108926,148.65161,1.6561195,150.07578,1.5289015,151.00517,1.300657,0.0,1.0,0.4778873,0.007567395,,,0.5580788,0.009668257,,,0.03752264,0.0062648626,153.89503,1.3135593,0.0,1.0,0.43123674,0.007288624,,,0.4939638,0.008802659,,,0.03752264,0.0062648626,1,2.0,355.865509,-29.0902901,,,15.037552,15.018508,,0.050709732,-21.802992,6.694529,20.425749,21.64182,23.247358,0.4418862,27.825247,10.800136,1.1155062,,2.0,0.0,Cluster,1.3045161,-0.12620816,1.0,False,True,True,True,True,True,True,True
9091700399_blue_red_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01,9091700399_A,9091700399_blue_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01.fits,9091700399,56.0,2.25,87.209114,2.5678782,79.734924,2.849905,79.86486,5.194287,76.77366,3.141596,79.734924,2.5958285,81.77668,2.5343463,0.0,1.0,0.51478684,0.025410624,,,0.643588,0.039329793,,,0.019766305,0.009919572,80.481476,3.395063,0.0,1.0,0.5031646,0.028153984,,,0.6247091,0.042662803,,,0.019766305,0.009919572,1,-9.0,355.0332336,-29.5376778,,,16.893103,16.722092,,0.051075302,-20.102083,3.4345107,20.120127,20.82166,22.640987,0.77128357,53.235004,10.084865,1.1348,,2.0,0.0,Cluster,1.3171973,0.08554529,1.0,False,True,True,True,True,True,True,True
9091700404_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700404_A,9091700404_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700404,343.5,2.6666667,,,72.62546,2.3944013,64.756226,4.4619966,66.96798,3.2206774,72.62546,2.753768,74.78396,2.4571157,,,,,,,,,,,,,65.48714,3.7219188,0.0,1.0,0.46866474,0.026048828,,,0.6104774,0.0408167,,,0.032256085,0.01579657,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091700444_blue_red_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08,9091700444_A,9091700444_blue_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08.fits,9091700444,37.5,1.0833334,117.52258,2.2972283,90.735596,2.1582582,89.02759,4.05565,90.763214,2.798795,90.735596,2.4689665,92.675446,2.1567643,0.0,1.0,0.693188,0.011805739,,,1.0811654,0.031933602,,,0.020313809,0.0059633763,97.149475,2.5535517,0.0,1.0,0.6718637,0.012659824,,,1.0204709,0.03152602,,,0.020313809,0.0059633763,1,3.0,354.8675842,-29.3329811,,,16.255024,16.2663,,0.050333384,-20.554491,4.3074975,20.203272,20.815292,22.716099,0.6927975,38.710598,10.354764,1.1584738,,2.0,0.0,Cluster,1.4213427,-0.34428117,1.0,False,True,True,True,True,True,True,True
9091700469_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700469_A,9091700469_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700469,234.0,6.1666665,,,60.773006,2.2947369,58.214046,3.8282845,59.059544,2.8141677,60.773006,2.0562372,61.31524,2.17259,,,,,,,,,,,,,62.520344,2.2477696,0.0,1.0,0.18210045,0.029674536,,,0.21330707,0.03237781,,,0.0866791,0.062918015,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091700725_blue_red_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04,9091700725_A,9091700725_blue_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04.fits,9091700725,124.5,1.8333334,129.98364,1.7284396,125.77078,1.430717,125.34168,2.0332406,126.916405,2.031058,125.77078,1.548869,125.91204,1.5716276,0.0,1.0,0.23232035,0.013576521,,,0.2645206,0.013819811,,,0.02833213,0.016801232,126.466606,1.8309797,0.0,1.0,0.22651668,0.013555591,,,0.24476698,0.0133225415,,,0.02833213,0.016801232,1,1.0,354.8950195,-29.7079678,,,16.433798,16.436401,,0.049913514,-20.386698,2.2846029,19.33617,20.513678,22.127481,0.5550013,130.75467,10.400592,1.3109798,,2.0,0.0,Cluster,1.9356464,-0.5876653,1.0,False,True,True,True,True,True,True,True
9091700733_blue_red_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04,9091700733_A,9091700733_blue_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04.fits,9091700733,73.5,3.9166667,135.10683,1.2111474,143.77266,1.176471,147.47939,1.7315164,145.5999,1.5771849,143.77266,1.1886606,142.72017,0.9847615,0.0,1.0,0.11957764,0.006701487,,,0.123674,0.0061445506,,,0.16775769,0.03565536,138.34633,1.0990434,0.0,1.0,0.08034014,0.006001645,,,0.0866425,0.005653597,,,0.16775769,0.03565536,1,0.0,355.1382141,-29.8398895,,,15.161721,15.086401,,0.05111099,-21.737803,5.220716,20.464901,21.876368,23.449322,0.047507197,78.11226,10.904732,1.287036,,2.0,0.0,Cluster,1.938484,0.10621347,1.0,False,True,True,True,True,True,True,True
9091701020_blue_red_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04,9091701020_A,9091701020_blue_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04.fits,9091701020,49.5,2.6666667,,,113.41753,1.3139008,113.7414,2.6541321,114.56963,1.6918755,113.41753,1.2770634,111.65731,1.3447841,,,,,,,,,,,,,111.258965,1.2692846,0.0,1.0,0.18866968,0.010750401,,,0.19396132,0.01028041,,,0.07021911,0.02406094,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091701222_blue_red_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04,9091701222_A,9091701222_blue_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04.fits,9091701222,65.0,1.3333334,,,120.872025,1.5060943,121.74917,1.8502887,123.528984,1.7548612,120.872025,1.4364289,119.62122,1.1379775,,,,,,,,,,,,,120.872025,1.4786167,0.0,1.0,0.16425434,0.010860584,,,0.17598033,0.010762183,,,0.061301578,0.022342717,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
